scene,view,lpips,psnr,ssim,avg_sigma,u_hist
Drums,93,0.201305836,18.59132004,0.833507419,0.156457305,"[0.573357343673706, 0.1343807727098465, 0.03194461762905121, 0.02204594761133194, 0.017687471583485603, 0.015821604058146477, 0.015199648216366768, 0.015496272593736649, 0.01713249646127224, 0.019333263859152794, 0.1376005858182907]"
Drums,97,0.204342946,18.3041935,0.828647137,0.101212844,"[0.5155304670333862, 0.16770018637180328, 0.05699010193347931, 0.022911619395017624, 0.016634369269013405, 0.012599487788975239, 0.01168593019247055, 0.009997231885790825, 0.009398574009537697, 0.008855284191668034, 0.1676967293024063]"
Drums,98,0.200529173,18.20225716,0.830785513,0.138169885,"[0.620713472366333, 0.08662403374910355, 0.03372624143958092, 0.022669846192002296, 0.020241092890501022, 0.016827469691634178, 0.01684529520571232, 0.018204504624009132, 0.019247310236096382, 0.01885960064828396, 0.12604112923145294]"
Ficus,3,0.075223237,24.83642578,0.928028464,0.190267056,"[0.5468212962150574, 0.07646667957305908, 0.05744438245892525, 0.050756216049194336, 0.05014073848724365, 0.0579695887863636, 0.06365658342838287, 0.07128027081489563, 0.02228841930627823, 0.0031758537515997887, 0.0]"
Ficus,5,0.079832911,24.36918068,0.923050284,0.212901503,"[0.5638024210929871, 0.11635244637727737, 0.06879433244466782, 0.0645691528916359, 0.07297538965940475, 0.07539135217666626, 0.03219080716371536, 0.004776771645992994, 0.0009707988356240094, 0.0001654770749155432, 1.1031805115635507e-05]"
Ficus,10,0.079562761,24.49627113,0.923803627,0.145867378,"[0.6436479091644287, 0.057132791727781296, 0.05279359221458435, 0.048306044191122055, 0.03241419047117233, 0.029632652178406715, 0.03350825980305672, 0.03567786142230034, 0.025163646787405014, 0.01661505363881588, 0.025108017027378082]"
Ficus,15,0.072850414,25.17399406,0.931187391,0.193136632,"[0.550167441368103, 0.06145578250288963, 0.049024198204278946, 0.05528949946165085, 0.06529958546161652, 0.07998163253068924, 0.07919847220182419, 0.04363207519054413, 0.014159944839775562, 0.00179137266241014, 0.0]"
Ficus,22,0.076352388,25.21341705,0.928939641,0.180508062,"[0.6191702485084534, 0.06730332970619202, 0.04590100795030594, 0.045084383338689804, 0.05339805781841278, 0.06113329157233238, 0.06618047505617142, 0.03072543255984783, 0.009788131341338158, 0.0013156700879335403, 0.0]"
Ficus,23,0.077077329,24.73509216,0.926208675,0.145561367,"[0.5576000809669495, 0.06490842998027802, 0.053960368037223816, 0.055491361767053604, 0.06420551985502243, 0.0774260014295578, 0.071282759308815, 0.038294143974781036, 0.013875247910618782, 0.0029560730326920748, 0.0]"
Ficus,31,0.077076413,24.88383675,0.927203953,0.203310907,"[0.6274746656417847, 0.0705668032169342, 0.04484836757183075, 0.03943563625216484, 0.04283580556511879, 0.04667026922106743, 0.05301513522863388, 0.04625716432929039, 0.02281610481441021, 0.0050843688659369946, 0.0009956888388842344]"
Ficus,38,0.078668058,24.44768906,0.923963666,0.159130529,"[0.5795192718505859, 0.11641264706850052, 0.041585635393857956, 0.03108181431889534, 0.025632038712501526, 0.022816697135567665, 0.023947356268763542, 0.02456921897828579, 0.02649133838713169, 0.029476279392838478, 0.07846773415803909]"
Ficus,41,0.078342743,24.50746536,0.925081372,0.212800875,"[0.5331091284751892, 0.0759630873799324, 0.06155658885836601, 0.06644189357757568, 0.07473316043615341, 0.08123543113470078, 0.06926298886537552, 0.030730990692973137, 0.00618404196575284, 0.0007826812216080725, 0.0]"
Ficus,47,0.079906687,24.42654037,0.923353255,0.11731986,"[0.5820821523666382, 0.06540337949991226, 0.049584150314331055, 0.05378737300634384, 0.059391673654317856, 0.06830489635467529, 0.06518477201461792, 0.04718940332531929, 0.00818784348666668, 0.0008843665709719062, 0.0]"
Ficus,49,0.076457061,24.88986588,0.92752564,0.205356896,"[0.6410028338432312, 0.05977073311805725, 0.04079984128475189, 0.040675580501556396, 0.044227443635463715, 0.04946722090244293, 0.04871128499507904, 0.059573981910943985, 0.014580247923731804, 0.0011080160038545728, 8.284232171718031e-05]"
